recipe_name,prep,cooking,food type,Calories, Carbohydrates, Protein, Fat, Saturated Fat, Polyunsaturated Fat, Sodium, Potassium, Fiber, Sugar, Vitamin A, Vitamin C, Calcium, Iron,Serving, Cholesterol, Trans Fat,url,ingredients,tokenized_ingredients,cleaned_tokenized_ingredients
Pork Siomai,"15
minutes","20
minutes",Appetizer, 574kcal (29%, 10g (3%, 34g (68%, 43g (66%, 15g (75%, 5g Monounsaturated Fat, 163mg (7%, 723mg (21%, 2g (8%, 3g (3%, 3715IU (74%, 11mg (13%, 58mg (6%, 2mg (11%,,,,https://panlasangpinoy.com/pork-siomai-recipe/,"▢
2 1/2 lbs ground pork
▢
1 cup shrimp minced
▢
2 sachets Knorr SavorRich Pork Seasoning 44g each
▢
1 cup jicama minced
▢
1 tablespoon sesame oil
▢
1/4 teaspoon ground black pepper
▢
1 cup onion minced
▢
1 cup carrots minced
▢
1 piece raw egg
▢
1/2 cup scallions minced
▢
30 pieces wonton wrapper
▢
Water for steaming","[[], ['2', '12', 'lbs', 'ground', 'pork'], [], ['1', 'cup', 'shrimp', 'minced'], [], ['2', 'sachets', 'Knorr', 'SavorRich', 'Pork', 'Seasoning', '44g', 'each'], [], ['1', 'cup', 'jicama', 'minced'], [], ['1', 'tablespoon', 'sesame', 'oil'], [], ['14', 'teaspoon', 'ground', 'black', 'pepper'], [], ['1', 'cup', 'onion', 'minced'], [], ['1', 'cup', 'carrots', 'minced'], [], ['1', 'piece', 'raw', 'egg'], [], ['12', 'cup', 'scallions', 'minced'], [], ['30', 'pieces', 'wonton', 'wrapper'], [], ['Water', 'for', 'steaming']]","['ground', 'pork', 'shrimp', 'sachets', 'knorr', 'savorrich', 'pork', 'seasoning', '44g', 'each', 'jicama', 'sesame', 'oil', 'ground', 'black', 'pepper', 'onion', 'carrots', 'raw', 'egg', 'scallions', 'wonton', 'wrapper', 'water', 'for', 'steaming']"
Longanisa Lumpiang Shanghai,"15
minutes","12
minutes",Appetizer, 450kcal (23%, 17g (6%, 21g (42%, 33g (51%, 10g (50%,, 918mg (38%, 473mg (14%, 2g (8%, 11g (12%, 1895IU (38%, 9mg (11%, 39mg (4%, 2mg (11%,, 110mg (37%,,https://panlasangpinoy.com/longanisa-lumpiang-shanghai/,"▢
1 ½ lb. ground pork
▢
2 pieces longanisa
▢
1 piece Knorr Pork Cube
▢
1 piece carrot minced
▢
¾ cup green onion chopped
▢
¾ cup singkamas minced
▢
1 piece onion minced
▢
¼ teaspoon garlic powder
▢
1 piece egg
▢
1 ½ teaspoons salt
▢
½ teaspoon ground black pepper
▢
20 pieces lumpia wrapper
▢
2 cups cooking oil","[[], ['1', '½', 'lb', 'ground', 'pork'], [], ['2', 'pieces', 'longanisa'], [], ['1', 'piece', 'Knorr', 'Pork', 'Cube'], [], ['1', 'piece', 'carrot', 'minced'], [], ['¾', 'cup', 'green', 'onion', 'chopped'], [], ['¾', 'cup', 'singkamas', 'minced'], [], ['1', 'piece', 'onion', 'minced'], [], ['¼', 'teaspoon', 'garlic', 'powder'], [], ['1', 'piece', 'egg'], [], ['1', '½', 'teaspoons', 'salt'], [], ['½', 'teaspoon', 'ground', 'black', 'pepper'], [], ['20', 'pieces', 'lumpia', 'wrapper'], [], ['2', 'cups', 'cooking', 'oil']]","['ground', 'pork', 'longanisa', 'knorr', 'pork', 'cube', 'carrot', 'green', 'onion', 'singkamas', 'onion', 'garlic', 'powder', 'egg', 'salt', 'ground', 'black', 'pepper', 'lumpia', 'wrapper', 'cooking', 'oil']"
Eggplant Meatballs Talong Bola Bola Recipe,"10
minutes","15
minutes",Appetizer, 2354kcal (118%, 160g (53%, 58g (116%, 163g (251%, 32g (160%,, 5553mg (231%, 1193mg (34%, 9g (36%, 25g (28%, 618IU (12%, 12mg (15%, 266mg (27%, 11mg (61%,, 333mg (111%,,https://panlasangpinoy.com/talong-bola-bola/,"▢
2 pieces Chinese eggplant
▢
6 ounces ground pork
▢
3/4 cup bread crumbs
▢
3/4 cup all-purpose flour
▢
1 piece onion minced
▢
1 teaspoon garlic powder
▢
1 piece egg
▢
1 1/2 teaspoons salt
▢
1/2 teaspoon ground black pepper
▢
1 1/2 cups cooking oil
▢
4 cups water for boiling","[[], ['2', 'pieces', 'Chinese', 'eggplant'], [], ['6', 'ounces', 'ground', 'pork'], [], ['34', 'cup', 'bread', 'crumbs'], [], ['34', 'cup', 'allpurpose', 'flour'], [], ['1', 'piece', 'onion', 'minced'], [], ['1', 'teaspoon', 'garlic', 'powder'], [], ['1', 'piece', 'egg'], [], ['1', '12', 'teaspoons', 'salt'], [], ['12', 'teaspoon', 'ground', 'black', 'pepper'], [], ['1', '12', 'cups', 'cooking', 'oil'], [], ['4', 'cups', 'water', 'for', 'boiling']]","['chinese', 'eggplant', 'ground', 'pork', 'bread', 'crumbs', 'all', 'purpose', 'flour', 'onion', 'garlic', 'powder', 'egg', 'salt', 'ground', 'black', 'pepper', 'cooking', 'oil', 'water', 'for', 'boiling']"
Kilawing Labanos Recipe,"15
minutes","25
minutes",Appetizer, 260kcal (13%, 9g (3%, 12g (24%, 19g (29%, 4g (20%,, 3547mg (148%, 404mg (12%, 2g (8%, 5g (6%, 4603IU (92%, 27mg (33%, 42mg (4%, 6mg (33%,, 90mg (30%,,https://panlasangpinoy.com/kilawing-labanos/,"▢
1 piece daikon radish
▢
5 ounces pork minced
▢
3 ounces pork liver minced
▢
3/4 cup white vinegar
▢
1 1/2 teaspoons sugar
▢
1 piece onion sliced
▢
4 cloves garlic minced
▢
3 tablespoons cooking oil
▢
2 tablespoons salt for prep
▢
Salt and pepper to taste","[[], ['1', 'piece', 'daikon', 'radish'], [], ['5', 'ounces', 'pork', 'minced'], [], ['3', 'ounces', 'pork', 'liver', 'minced'], [], ['34', 'cup', 'white', 'vinegar'], [], ['1', '12', 'teaspoons', 'sugar'], [], ['1', 'piece', 'onion', 'sliced'], [], ['4', 'cloves', 'garlic', 'minced'], [], ['3', 'tablespoons', 'cooking', 'oil'], [], ['2', 'tablespoons', 'salt', 'for', 'prep'], [], ['Salt', 'and', 'pepper', 'to', 'taste']]","['daikon', 'radish', 'pork', 'pork', 'liver', 'white', 'vinegar', 'sugar', 'onion', 'garlic', 'cooking', 'oil', 'salt', 'for', 'prep', 'salt', 'and', 'pepper', 'to', 'taste']"
Fried Ham and Cheese Roll,"10
minutes","7
minutes",Appetizer,, 18g (6%, 10g (20%, 23g (35%, 5g (25%,, 511mg (21%, 122mg (3%, 2g (8%, 3g (3%, 275IU (6%, 5.1mg (6%, 126mg (13%, 1.6mg (9%, 8g Calories, 27mg (9%,,https://panlasangpinoy.com/fried-ham-and-cheese-roll/,"▢
8 slices bread
▢
4 ounces ham sliced into thick strips
▢
3 ounces cheese sliced into thick strips
▢
1/4 cup pimento optional
▢
3/4 cup Panko bread crumbs
▢
2 pieces eggs beaten
▢
2 cups cooking oil
▢
1/2 cup mayonnaise","[[], ['8', 'slices', 'bread'], [], ['4', 'ounces', 'ham', 'sliced', 'into', 'thick', 'strips'], [], ['3', 'ounces', 'cheese', 'sliced', 'into', 'thick', 'strips'], [], ['14', 'cup', 'pimento', 'optional'], [], ['34', 'cup', 'Panko', 'bread', 'crumbs'], [], ['2', 'pieces', 'eggs', 'beaten'], [], ['2', 'cups', 'cooking', 'oil'], [], ['12', 'cup', 'mayonnaise']]","['bread', 'ham', 'into', 'thick', 'strips', 'cheese', 'into', 'thick', 'strips', 'pimento', 'optional', 'panko', 'bread', 'crumbs', 'eggs', 'cooking', 'oil', 'mayonnaise']"
Dynamite Lumpia,"8
minutes","20
minutes",Appetizer, 563kcal (28%, 6g (2%, 21g (42%, 50g (77%, 14g (70%,, 306mg (13%, 285mg (8%,, 1g (1%, 460IU (9%, 4mg (5%, 303mg (30%, 1.2mg (7%,, 135mg (45%,,https://panlasangpinoy.com/dyanamite-lumpia/,"▢
8 pieces long green pepper
▢
4 ounces cheddar cheese
▢
8 pieces lumpia wrapper
▢
2 cups cooking oil","[[], ['8', 'pieces', 'long', 'green', 'pepper'], [], ['4', 'ounces', 'cheddar', 'cheese'], [], ['8', 'pieces', 'lumpia', 'wrapper'], [], ['2', 'cups', 'cooking', 'oil']]","['long', 'green', 'pepper', 'cheddar', 'cheese', 'lumpia', 'wrapper', 'cooking', 'oil']"
Special Tokwat Baboy,"10
minutes","20
minutes",Appetizer,, 8g (3%, 19g (38%, 90g (138%, 24g (120%, 15g Monounsaturated Fat, 995mg (41%, 466mg (13%, 1g (4%, 4g (4%, 200IU (4%, 6mg (7%, 60mg (6%, 2mg (11%, 4g Calories,,,https://panlasangpinoy.com/special-tokwat-baboy/,"▢
1 lb. pork belly grilled and sliced
▢
12 oz extra firm tofu
▢
1 red onion sliced
▢
3/4 cup green onions chopped
▢
1 cup cane vinegar
▢
3 tablespoons soy sauce
▢
1/2 tablespoon brown sugar
▢
1/4 teaspoon ground black pepper
▢
1/4 teaspoon salt
▢
1/2 cup cooking oil","[[], ['1', 'lb', 'pork', 'belly', 'grilled', 'and', 'sliced'], [], ['12', 'oz', 'extra', 'firm', 'tofu'], [], ['1', 'red', 'onion', 'sliced'], [], ['34', 'cup', 'green', 'onions', 'chopped'], [], ['1', 'cup', 'cane', 'vinegar'], [], ['3', 'tablespoons', 'soy', 'sauce'], [], ['12', 'tablespoon', 'brown', 'sugar'], [], ['14', 'teaspoon', 'ground', 'black', 'pepper'], [], ['14', 'teaspoon', 'salt'], [], ['12', 'cup', 'cooking', 'oil']]","['pork', 'belly', 'grilled', 'and', 'extra', 'firm', 'tofu', 'red', 'onion', 'green', 'onions', 'cane', 'vinegar', 'soy', 'sauce', 'brown', 'sugar', 'ground', 'black', 'pepper', 'salt', 'cooking', 'oil']"
Breaded Butterfly Shrimp Recipe,"10
minutes","10
minutes",Appetizer, 409kcal (20%, 29g (10%, 27g (54%, 19g (29%, 1g (5%,, 1573mg (66%, 145mg (4%, 1g (4%, 1g (1%, 125IU (3%, 4.6mg (6%, 195mg (20%, 4.3mg (24%,, 287mg (96%,,https://panlasangpinoy.com/breaded-butterfly-shrimp-recipe/,"▢
1 lb medium shrimp head removed, shelled, and deveined
▢
2 pieces eggs beaten
▢
1 cup Panko bread crumbs
▢
3/4 cup all purpose flour
▢
1/2 teaspoon garlic powder
▢
1/2 teaspoon ground black pepper
▢
1 teaspoon salt
▢
1/2 teaspoon paprika optional
▢
3 cups cooking oil","[[], ['1', 'lb', 'medium', 'shrimp', 'head', 'removed', 'shelled', 'and', 'deveined'], [], ['2', 'pieces', 'eggs', 'beaten'], [], ['1', 'cup', 'Panko', 'bread', 'crumbs'], [], ['34', 'cup', 'all', 'purpose', 'flour'], [], ['12', 'teaspoon', 'garlic', 'powder'], [], ['12', 'teaspoon', 'ground', 'black', 'pepper'], [], ['1', 'teaspoon', 'salt'], [], ['12', 'teaspoon', 'paprika', 'optional'], [], ['3', 'cups', 'cooking', 'oil']]","['shrimp', 'head', 'removed', 'shelled', 'and', 'deveined', 'eggs', 'panko', 'bread', 'crumbs', 'all', 'purpose', 'flour', 'garlic', 'powder', 'ground', 'black', 'pepper', 'salt', 'paprika', 'optional', 'cooking', 'oil']"
Spicy Dilis,"10
minutes","5
minutes",Appetizer, 217kcal (11%, 29g (10%,, 11g (17%,,,, 69mg (2%,, 28g (31%, 55IU (1%, 0.7mg (1%, 26mg (3%, 0.3mg (2%,, 1mg Sodium,,https://panlasangpinoy.com/spicy-dilis-recipe/,"▢
2 cups dried anchovies dilis
▢
2 tablespoons banana ketchup
▢
2 teaspoons hot chili sauce
▢
1/2 cup brown sugar
▢
2 cups cooking oil","[[], ['2', 'cups', 'dried', 'anchovies', 'dilis'], [], ['2', 'tablespoons', 'banana', 'ketchup'], [], ['2', 'teaspoons', 'hot', 'chili', 'sauce'], [], ['12', 'cup', 'brown', 'sugar'], [], ['2', 'cups', 'cooking', 'oil']]","['dried', 'anchovies', 'dilis', 'banana', 'ketchup', 'hot', 'chili', 'sauce', 'brown', 'sugar', 'cooking', 'oil']"
Embutido,"15
minutes",,Appetizer,, 65g (22%, 45g (90%, 51g (78%, 21g (105%, 5g Monounsaturated Fat, 888mg (37%, 1137mg (32%, 6g (24%, 13g (14%, 5368IU (107%, 60mg (73%, 389mg (39%, 5mg (28%, 6g Calories,,,https://panlasangpinoy.com/embutido/,"▢
2 lbs. ground pork
▢
12 pieces vienna sausage or 6 pcs hot dogs, cut in half lengthwise
▢
3 hard boiled eggs sliced
▢
1/2 cup sweet pickle relish
▢
1/2 cup tomato sauce
▢
2 eggs
▢
2 cups cheddar cheese grated
▢
1 cup red bell pepper minced
▢
1 cup green bell pepper minced
▢
1 1/2 cup raisins
▢
1 cup carrots minced
▢
1 cup onion minced
▢
salt and pepper
▢
1 to 1 1/2 cups bread crumbs made by placing 4 slices of tasty bread in a food processor. If not using any food processor, just tear the bread.","[[], ['2', 'lbs', 'ground', 'pork'], [], ['12', 'pieces', 'vienna', 'sausage', 'or', '6', 'pcs', 'hot', 'dogs', 'cut', 'in', 'half', 'lengthwise'], [], ['3', 'hard', 'boiled', 'eggs', 'sliced'], [], ['12', 'cup', 'sweet', 'pickle', 'relish'], [], ['12', 'cup', 'tomato', 'sauce'], [], ['2', 'eggs'], [], ['2', 'cups', 'cheddar', 'cheese', 'grated'], [], ['1', 'cup', 'red', 'bell', 'pepper', 'minced'], [], ['1', 'cup', 'green', 'bell', 'pepper', 'minced'], [], ['1', '12', 'cup', 'raisins'], [], ['1', 'cup', 'carrots', 'minced'], [], ['1', 'cup', 'onion', 'minced'], [], ['salt', 'and', 'pepper'], [], ['1', 'to', '1', '12', 'cups', 'bread', 'crumbs', 'made', 'by', 'placing', '4', 'slices', 'of', 'tasty', 'bread', 'in', 'a', 'food', 'processor', 'If', 'not', 'using', 'any', 'food', 'processor', 'just', 'tear', 'the', 'bread']]","['ground', 'pork', 'vienna', 'sausage', 'or', 'pcs', 'hot', 'dogs', 'cut', 'in', 'lengthwise', 'hard', 'boiled', 'eggs', 'sweet', 'pickle', 'relish', 'tomato', 'sauce', 'eggs', 'cheddar', 'cheese', 'red', 'bell', 'pepper', 'green', 'bell', 'pepper', 'raisins', 'carrots', 'onion', 'salt', 'and', 'pepper', 'to', 'bread', 'crumbs', 'made', 'by', 'placing', 'of', 'tasty', 'bread', 'in', 'a', 'food', 'processor', 'if', 'not', 'using', 'any', 'food', 'processor', 'just', 'tear', 'the', 'bread']"
